,Name,SMILES,Molweight,calcPM1,calcPM2,calcPM3,calcNPR1,calcNPR2,calcCrippenLopP,calcCrippenMR,calcLipinskiFractionCSP3,calcLipinskiHeavyAtomCount,calcLipinskiNHOHCount,calcLipinskiNOCount,calcLipinskiNumAliphaticCarbocycles,calcLipinskiNumAliphaticHeterocycles,calcLipinskiNumAliphaticRings,calcLipinskiNumAromaticCarbocycles,calcLipinskiNumAromaticHeterocycles,calcLipinskiNumAromaticRings,calcLipinskiNumHAcceptors,calcLipinskiNumHDonors,calcLipinskiNumHeteroatoms,calcLipinskiNumRotatableBonds,calcLipinskiNumSaturatedCarbocycles,calcLipinskiNumSaturatedHeterocycles,calcLipinskiNumSaturatedRings,calcLipinskiRingCount,calcAsphericity,calcEccentricity,calcInertialShapeFactor,calcRadiusOfGyration,calcSpherocityIndex
10,,,502.29892691199984,3475.8572739476335,15216.168486969189,17533.97331651661,0.1982355745159857,0.8678106332371281,-0.8629999999999911,122.3616000000001,1.0,34,2,12,0,0,0,0,0,0,12,2,12,31,0,0,0,0,0.5194418613317451,0.9801544046711809,0.0002496680861270032,6.300909883070278,0.09841848123401095
11,,,546.3251416599999,3585.3384573809394,14087.783390095427,15734.088820874711,0.2278707396531411,0.895366967256782,-0.8463999999999898,133.18060000000006,1.0,37,2,13,0,0,0,0,0,0,13,2,13,34,0,0,0,0,0.46701445076305187,0.9736913915661011,0.0002497301099742869,5.8016885711180946,0.17819527285382428
12,,,590.3513564079999,5125.435719341486,7560.445176254071,8614.097549968865,0.595005534777118,0.8776827906112344,-0.8297999999999885,143.99959999999993,1.0,40,2,14,0,0,0,0,0,0,14,2,14,37,0,0,0,0,0.08468449658489345,0.8037216020392857,0.00017124062005093274,4.456378016062502,0.5675510041360373
13,,,634.3775711559999,8698.469896632128,14381.139097280724,22182.50192029709,0.39213204749789693,0.6483100575829057,-0.8131999999999873,154.81859999999978,1.0,43,2,15,0,0,0,0,0,0,15,2,15,40,0,0,0,0,0.2684420912551596,0.919908939691917,7.453150557363178e-05,6.2665820766930835,0.05868927061184621
14,,,678.403785904,6755.514313550164,10195.074346202144,12712.022379180848,0.5314271885340627,0.8020025486187907,-0.796599999999986,165.63759999999962,1.0,46,2,16,0,0,0,0,0,0,16,2,16,43,0,0,0,0,0.12193973850059683,0.8471039743070398,0.00011871820728884247,4.905560927732675,0.43116055172066214
15,,,722.430000652,5657.508544388642,16604.9459700541,17367.804313349316,0.3257469074568133,0.9560762932647241,-0.7799999999999876,176.4565999999995,1.0,49,2,17,0,0,0,0,0,0,17,2,17,46,0,0,0,0,0.32798465515131064,0.9454570071041423,0.00016899246121563553,5.494594845705068,0.3739768079497923
16,,,766.4562154,11326.236957921337,14203.181509754684,21224.005875990035,0.5336521778263503,0.6692036174859073,-0.7633999999999899,187.27559999999934,1.0,52,2,18,0,0,0,0,0,0,18,2,18,49,0,0,0,0,0.1423082905182642,0.8457040576355261,5.9084373739671764e-05,5.793967486927618,0.2758471311807903
17,,,810.482430148,7807.640202695069,16912.728028399062,19342.9983313536,0.40364167276173774,0.8743591732097064,-0.746799999999993,198.09459999999922,1.0,55,2,19,0,0,0,0,0,0,19,2,19,52,0,0,0,0,0.22854921665818578,0.9149171547250091,0.00011198763653426191,5.469828782800146,0.37011874247248266
18,,,854.5086448960001,9073.98676802107,17994.300684065187,22767.72029601999,0.3985461280287815,0.7903426627746634,-0.7301999999999962,208.91359999999906,1.0,58,2,20,0,0,0,0,0,0,20,2,20,55,0,0,0,0,0.23342941197816836,0.9171482889005824,8.709982535571052e-05,5.665189225691774,0.25915225843348755
19,,,898.5348596440001,11351.21564705327,16338.412571865983,19509.208747766872,0.5818388533236947,0.8374718207746977,-0.7135999999999993,219.73259999999902,1.0,61,2,21,0,0,0,0,0,0,21,2,21,58,0,0,0,0,0.09110522673331324,0.8133040936592955,7.377816145992275e-05,5.3764312804533425,0.5179645729729548
20,,,942.5610743920001,13980.95477852,19591.574761006043,25401.057102224913,0.5504083834879214,0.7712897412954515,-0.6970000000000025,230.55159999999898,1.0,64,2,22,0,0,0,0,0,0,22,2,22,61,0,0,0,0,0.11250972324940814,0.8348955691499467,5.516717230789147e-05,5.867664872589562,0.41832211272717845
21,,,986.5872891400002,12188.935737014432,28860.880287059517,31394.59505206635,0.38824949698506056,0.9192945549765877,-0.6804000000000057,241.37059999999894,1.0,67,2,23,0,0,0,0,0,0,23,2,23,64,0,0,0,0,0.24893552242961392,0.9215543001314939,7.542041198764745e-05,6.356554062268271,0.40097547387589283
22,,,1030.6135038880002,11631.554131602861,29455.841914770543,31537.671317977532,0.36881461583920067,0.9339891210667708,-0.663800000000009,252.1895999999989,1.0,70,2,24,0,0,0,0,0,0,24,2,24,67,0,0,0,0,0.2723694426995437,0.929502974252037,8.029787855512171e-05,6.22699560429955,0.39477918073588164
23,,,1074.6397186360002,15966.409059655394,27230.412205924258,34368.59893199079,0.4645638622409373,0.7923049833892937,-0.6472000000000122,263.008599999999,1.0,73,2,25,0,0,0,0,0,0,25,2,25,70,0,0,0,0,0.17168823500595276,0.8855396196104292,4.962324217230058e-05,6.302056406636035,0.3385563526500194
24,,,1118.6659333840003,18010.738726862503,26576.154202266025,32961.49140935772,0.5464175908541954,0.806278874708961,-0.6306000000000145,273.8275999999992,1.0,76,2,26,0,0,0,0,0,0,26,2,26,73,0,0,0,0,0.11229724276757891,0.8375128753667593,4.4766563267414405e-05,6.176074993649986,0.4519984591625367
